topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1256941692017614849	http://twitter.com/user/status/1256941692017614849	Отменят се част от противоепидемичните мерки, въведени заради COVID-19 у нас https://t.co/3lps5rrwQN	0
COVID-19	1293089167568785409	http://twitter.com/user/status/1293089167568785409	Oпазването на биоразнообразието 🦋🐅🐘🌴 остава приоритет и за външната дейност на ЕС 🇪🇺. Отделяме6⃣ млн. евро в помощ на опазването на застрашени видове в държави от Африка, Карибския регион и Тихия океан, силно засегнати от пандемията #coronavirus. ➡ https://t.co/SpP9ljubt7 https://t.co/07I0TnBSfz	0
COVID-19	1284010236546887682	http://twitter.com/user/status/1284010236546887682	80% от активните фармацевтични съставки и 40% от готовите лекарства, които се продават в Европа, се произвеждат в Китай и Индия. Това е сред факторите, повишаващи риска от липси. ЕП предлага насърчаване на производството в Европа: https://t.co/CxyTWR57y0 #ЕвропаСрещуCOVID19 https://t.co/oA86Kd1pZe	0
COVID-19	1239844786267475970	http://twitter.com/user/status/1239844786267475970	Според изследване, #COVID19 оцелява до 3 часа в аерозоли във въздуха, до 24 часа на хартиена и около 2-3 дни на стоманена или пластмасова повърхност. https://t.co/DTTDwfwV7x	1
COVID-19	1242023990018945025	http://twitter.com/user/status/1242023990018945025	5 съвета за маските и коронавируса от Световната здравна организация. #WorldHealthOrganization #coronavirus #COVID19 https://t.co/XBFsvIFpxN	0
COVID-19	1255520478749511688	http://twitter.com/user/status/1255520478749511688	Международния център @NizamiGanjaviIC 🇦🇿 помага на #България в борбата с #COVID19 . @PresidentOfBg @MFABulgaria @NarodnoSabranie @MoEBulgaria https://t.co/1YuyBHfrYs https://t.co/gKKPhEjPDe	0
COVID-19	1270962007647440896	http://twitter.com/user/status/1270962007647440896	Нова програма на ЕС цели да укрепи системите на здравеопазване в Европа и да ги подготви по-добре за бъдещи кризи като пандемията от COVID-19: https://t.co/YKDqBQNQOY #ЕвропаСрещуCOVID19 https://t.co/e2D0udgOpM	0
COVID-19	1254681072564088832	http://twitter.com/user/status/1254681072564088832	Европейският фонд за най-нуждаещите се осигурява храна и материална помощ за тези, които имат най-голяма нужда от тях.🙌🇪🇺 Заради #coronavirus правилата на фонда бяха променени, за да позволят осигуряването на предпазни средства и лечение, вкл. за доброволци и социални работници. https://t.co/zvOVTDXvVI	0
COVID-19	1238923080006873090	http://twitter.com/user/status/1238923080006873090	Френският министър на здравеопазването предупреждава при симптоми на грип да не се приема ибупрофен, тъй като може да усложни заболяването. Казва при температура да се взима парацетамол. https://t.co/pJXnEx2DPW	1
COVID-19	1253559503183888384	http://twitter.com/user/status/1253559503183888384	90 нови случая на COVID-19 са потвърдени у нас за последните 24 часа https://t.co/eyh5r90RN8	0
COVID-19	1280424801383993345	http://twitter.com/user/status/1280424801383993345	Лятната икономическа прогноза на ЕС #ECForecast ☀ показва по-силна от очакваната рецесия, предизвикана от кризата с #coronavirus. #NextGenerationEU и подсилен #EUBudget могат да дадат тласъка за бързо възстановяване. ➡ https://t.co/Qkg18kjN9Q https://t.co/VPLEmR1RI2	0
COVID-19	1292371034126065665	http://twitter.com/user/status/1292371034126065665	Европейския икономически и социален комитет учредява специална „Награда за гражданска солидарност“ за проекти за борба срещу #COVID19 и последиците от него. @EU_EESC ще присъди до 29 награди, всяка в размер на €10 000: https://t.co/IRul47jHlU #CivilSolidarityPrize https://t.co/u8SGH19nqr	0
COVID-19	1242396242472247296	http://twitter.com/user/status/1242396242472247296	ЕС ще подкрепи кампанията на @who за глобален отгвор срещу #COVID19 с 114 млн. евро, за да помогне на по-неустойчивите здравни системи по света да се справят със заплахата. 🌍 15 млн. е финансирането досега за диагностика и наблюдение в Африка #solidarity https://t.co/Kfn3ksj5Nw	0
COVID-19	1273141258094084096	http://twitter.com/user/status/1273141258094084096	Чрез Инвестиционната инициатива в отговор на коронавируса, 750 милиона евро са мобилизирани в помощ на България за справяне с настоящата криза и ефектите ѝ: https://t.co/FWaFQ3Z1k2 #ЕвропаСрещуCOVID19 https://t.co/1GLkyr0fad	0
COVID-19	1247056560901275649	http://twitter.com/user/status/1247056560901275649	39 са вече излекуваните пациенти от COVID-19 в България https://t.co/0DRISBcJal	0
COVID-19	1283733731975536640	http://twitter.com/user/status/1283733731975536640	Днес Испания отдава почит на повече от 28 хил. души, които загубиха живота си вследствие на #COVID19. ЕС скърби с Испания и с всички европейци, чийто живот се преобърна заради болестта! 🇪🇸 🇪🇺 https://t.co/sTlwIEBA8Q	0
COVID-19	1227899752093769728	http://twitter.com/user/status/1227899752093769728	Зимна #ECForecast ❄: 📌 1.4% ръст на БВП за ЕС през 2020 и 2021 (от 1.5% през 2019) 📌 Инфлация от 1.5% за 2020 и 1.6% за 2021 Рискове ➡ Несигурност в глобалните търговски отношения, геополитически конфликти, неяснота в отношенията с 🇬🇧, #Coronavirus ➡ https://t.co/flhncqJMk0 https://t.co/uzpz272hgs	0
COVID-19	1297862328906665984	http://twitter.com/user/status/1297862328906665984	5⃣1⃣1⃣ млн. евро за България в рамките на схемата #SURE за запазване на работни места в условията на #coronavirus. 🇪🇺 🇧🇬 Подкрепата ще дойде под формата на заем на преференциални условия. Общата предвидена сума за всички държавие 100 млрд. евро. 👉 https://t.co/1piX0akCOw https://t.co/PWH5U5TgcH	0
COVID-19	1284746357144788992	http://twitter.com/user/status/1284746357144788992	8638 са общо потвърдените случаи на COVID-19 в България според Националната информационна система https://t.co/rNrxT6oha8	0
COVID-19	1236639130429374464	http://twitter.com/user/status/1236639130429374464	Здравният министър издаде заповеди във връзка с регистрираните случаи на COVID-19 на територията на България https://t.co/MfuYxSYM5H	0
COVID-19	1250312721158959110	http://twitter.com/user/status/1250312721158959110	COVID-19 застрашава съществуването на българските иновативни стартъпи Почти 75% от стартъпите посочват среден или висок риск от фалит през следващите 6 месеца заради настоящата криза. Това показват данните от експресно проучване на BESCO. #movebg #editbg https://t.co/ASXqScS3K5	1
COVID-19	1254646559800807424	http://twitter.com/user/status/1254646559800807424	1348 са случаите на COVID-19, потвърдени у нас https://t.co/ueUDmldXCB	0
COVID-19	1272033686549082114	http://twitter.com/user/status/1272033686549082114	3266 са общо случаите на COVID-19, потвърдени у нас, според Националната информационна система https://t.co/L6N9YqhUpe	0
COVID-19	1262987808081403905	http://twitter.com/user/status/1262987808081403905	646 са вече излекуваните лица, при които е бил потвърден COVID-19 https://t.co/9meAL26pxg	0
COVID-19	1250687466908061700	http://twitter.com/user/status/1250687466908061700	Най-голямо количество вируси в гърлен секрет на заразени с #Covid19 се открива към момента на поява на симптомите. На основата на това, авторите изчисляват, че около 44% от болните са се заразили от хора без изявени симптоми https://t.co/VL9Xa9d8ZG	0
COVID-19	1240686217244495872	http://twitter.com/user/status/1240686217244495872	Във време на криза да превърнеш панаирен център във временен лазарет с 880 легла - Община Виена го може: https://t.co/SVR079nfZ3 #coronavirus #COVID19 #Виена https://t.co/d5eaTNwdBd	0
COVID-19	1295617721619697665	http://twitter.com/user/status/1295617721619697665	135 нови случая на COVID-19 са потвърдени в България през изминалото денонощие https://t.co/nCFDqEyOYf	0
COVID-19	1263135896162889730	http://twitter.com/user/status/1263135896162889730	Европейският съюз предприема множество мерки за борба с коронавируса - от забавяне на разпространението на пандемията и връщане на европейци у дома до инвестиции в търсенето на ваксина и подкрепа за запазване на работните места ↓ #ЕвропаСрещуCovid19 🇪🇺 https://t.co/8Zxxs8Lkzd	0
COVID-19	1257965265406615554	http://twitter.com/user/status/1257965265406615554	Икономическия ефект на пандемията #coronavirus в цифри. Пролетната #ECForecast очаква: ▪ 7.4 % свиване на икономиката на ЕС през 2020 г. ▪ Рецесия във всички държави ▪ Възстановяване с 6.1% ръст през 2021, което обаче зависи от множество фактори 👉 https://t.co/EM5Yv0TCkd https://t.co/ZjWNhd5wST	0
COVID-19	1277566932628246529	http://twitter.com/user/status/1277566932628246529	- @Emil_Radev: Важно е България да сложи край на дълговото робство особено след кризата с #COVID19 Ако бъде гласувано предложението, след изтичането на 10-год. давност, кредиторът няма да може да принудително да изисква погасяването на дадено задължение! https://t.co/xwgunDUSSa	0
COVID-19	1225692341836513281	http://twitter.com/user/status/1225692341836513281	Д-р Ли, който пръв вдигна тревога за новия коронавирус, почина от заболяването. #coronavirus #DrLiWenliang https://t.co/vtK8F28RRd	0
COVID-19	1284383653229850624	http://twitter.com/user/status/1284383653229850624	24 млн. млади хора получиха подкрепа от въвеждането на Гаранцията за младежта през 2013 г. ЕС иска да продължи да помага на младежите при намирането на работа, тъй като в кризи като настоящата проблемите пред тях нарастват многократно: https://t.co/dRVIFNUZME #ЕвропаСрещуCOVID19 https://t.co/O2XRi5SFQ0	0
COVID-19	1242836184017108993	http://twitter.com/user/status/1242836184017108993	За 22 нови случая на COVID-19 съобщи Националният оперативен щаб https://t.co/4ZYiLbN7Hm	0
COVID-19	1239289262299807744	http://twitter.com/user/status/1239289262299807744	#Сърбия обяви извънредно положение и ограничава достъпа до нейната територия за чужди граждани заради #covid19.	1
COVID-19	1275442843910156288	http://twitter.com/user/status/1275442843910156288	По време на кризата с #COVID19 трансграничните и сезонните работници се сблъскаха с нови проблеми. Парламентът иска да се прилагат съществуващите правила, за да се гарантират справедливи условия на труд за тези групи работници сега и след кризата. Вижте ↓ #ЕвропаСрещуCovid19 https://t.co/oIZFsLNjVN	0
COVID-19	1258281358977314827	http://twitter.com/user/status/1258281358977314827	За да даде възможност на медицинския персонал да се справи с тази трудна задача, ЕС предоставя допълнителни средства за европейските болници и подкрепя засиленото производство на медицински материали: https://t.co/vHyHW1bBa1 #ЕвропаСрещуCOVID19	0
COVID-19	1243498216496168960	http://twitter.com/user/status/1243498216496168960	айде и английския Бойко болен https://t.co/92v5q46mjI	0
COVID-19	1250325228409909248	http://twitter.com/user/status/1250325228409909248	Австрия очевидно показва отлични умения за кризисен мениджмънт във връзка с #COVID19 . Според изследване на DKG страната се нарежда на челните места по редица показатели: https://t.co/3zNCnFebFf https://t.co/z4LdocyVrO	0
COVID-19	1283650440358498304	http://twitter.com/user/status/1283650440358498304	Според последните прогнози икономиката на ЕС ще се свие с 8,3% през 2020 г. заради пандемията от коронавируса. За да се осигурят средствата за възстановяване и инвестициите за бъдещето, ЕП настоява за нови източници на бюджетни приходи: https://t.co/GQ0FkOvUlf #ЕвропаСрещуCOVID19 https://t.co/JGDzVkZnoL	0
COVID-19	1293208689843806211	http://twitter.com/user/status/1293208689843806211	23 нови изследователски проекта ще разработват решения за борба с коронавируса благодарение на финансиране от ЕС на стойност 128 млн. евро https://t.co/rIWb27YhZn https://t.co/trYCgy1yzX	0
COVID-19	1288456748609806337	http://twitter.com/user/status/1288456748609806337	Германия въвежда задължителен граничен COVID-19 тест за рискови държави https://t.co/o4vntnqjVO	0
COVID-19	1262085989188714496	http://twitter.com/user/status/1262085989188714496	Лекарите ще връщат пари на здравната каса заради COVID-19 https://t.co/aI6okKKXM7	1
COVID-19	1292707085407444992	http://twitter.com/user/status/1292707085407444992	Повече от 40 на сто отлив на родни кандидат-студенти за обучение в чужбина през тази кампания, заради пандемията от COVID-19. Вижте още тук за това как протича кандидат-студентската кампания тази година. #EPALEBulgaria #чужбина #образование #студенти https://t.co/2JfBYTDc56	1
COVID-19	1265684922250997765	http://twitter.com/user/status/1265684922250997765	Бъдещето на ЕС заложено на карта: Европейският парламент изрази подкрепа за предложения от Европейската комисия пакет за възстановяване след кризата от COVID-19: https://t.co/hQ6ejmt7bY #ЕвропаСрещуCOVID19 https://t.co/g5oJtUHi6A	0
COVID-19	1240580918013825025	http://twitter.com/user/status/1240580918013825025	🔴 #Коронавирус: След успешен ограничен тест в Марсилия, Sanofi започва национално изпитване във #Франция на лекарството срещу малария #Plaquenil, което е показало обнадеждаващи резултати срещу #COVID19 https://t.co/lpZFi0gkaR	1
COVID-19	1254377490094723073	http://twitter.com/user/status/1254377490094723073	Коронавирус открит в две ферми за норки в Холандия – районът отцепен на 400 метра около тях. Холандия е приела забрана на фермите за кожи, която предстои да влезе в сила през 2024. В България официално има две функциониращи ферми за норки – общо 130 000 животни. https://t.co/t0VSRFTnap	1
COVID-19	1249319911438069760	http://twitter.com/user/status/1249319911438069760	Доза позитивизъм от австрийското лекарско съсловие, което твърди, че е набрало ценен опит и наблюдения, че се справя все по-добре с профилактиката на Covid-19, както и че даден медикамент им дава надежда за пробив още до лятото: https://t.co/MNZCW9lGPI	0
COVID-19	1240631662444232704	http://twitter.com/user/status/1240631662444232704	Министерството на здравеопазването изготви препоръки към бременните жени във връзка с разпространението на COVID-19 в България https://t.co/Taj7RHeYRC	0
COVID-19	1240014293195776008	http://twitter.com/user/status/1240014293195776008	Засега #coronavirus в Австрия засяга предимно хора между 45 и 54 години. Възрастните хора са слабо засегнати: https://t.co/7cABSHkOEU #coronavirus #COVID19 https://t.co/S9z6S6wSXt	0
COVID-19	1295660848225099777	http://twitter.com/user/status/1295660848225099777	Новата учебна година ще започне със засилени противоепидемични мерки както за учители, така и за родители, за които училището остава рисково място и е по-добре с часовете да се продължи онлайн. https://t.co/KhnHdoO9NA #EPALEBulgaria #COVID19 #училища	0
COVID-19	1260188303392997376	http://twitter.com/user/status/1260188303392997376	8 нови проекта 🔬 3⃣ за лечение и 5⃣ за диагностика на #coronavirus ще бъдат финансирани по Инициативата за иновативни лекарства на ЕС @IMI_JU 72 млн. идват по програма #H2020 🇪🇺 , а 45 млн. евро са от частни партньори. ℹ https://t.co/6L63Tz8fis #UnitedAgainstCoronaVirus https://t.co/EpdZoEQNLG	0
COVID-19	1285467125163921408	http://twitter.com/user/status/1285467125163921408	196 са новодиагностицираните с COVID-19 лица през последното денонощие https://t.co/nydrwqnRof	0
COVID-19	1275370691492220931	http://twitter.com/user/status/1275370691492220931	Шест са медицинските лица с доказан COVID-19 през последното денонощие https://t.co/7pcS1FxewD	0
COVID-19	1263754034382503936	http://twitter.com/user/status/1263754034382503936	#COVID19 📓 В помощ на безопасното възстановяване на транспортните услуги в Европа @ECDC_EU и @EASA издадоха насоки за управление на 🛫 потоците от пътници и авиaционния персонал. Вижте тук👉 https://t.co/SPArWjnfDo https://t.co/CvSCvQYwqT	0
COVID-19	1269896178570858496	http://twitter.com/user/status/1269896178570858496	Ново изследване на DNG поставя Австрия на шесто място в света по безопасност по отношение на #COVID19. България е на 48 позиция: https://t.co/csqrcnRN6f https://t.co/e5iuQXRCKV	0
COVID-19	1236593818025242624	http://twitter.com/user/status/1236593818025242624	При четирима българи е потвърден новият коронавирус COVID-19 https://t.co/JRwYuybR7y	0
